,i
885,105.94116428872357
886,2892.2999519792406
887,135.42869920502955
888,357.6902682020846
889,265.218437690009
890,666.974977885471
891,511.3838311780154
892,358.36325245286605
893,522.440147336517
894,300.9007020189184
895,188.29571513399532
896,227.55843575255463
897,467.9960647424565
898,155.7509733197992
899,304.58255876085127
900,210.98197067268998
901,115.89194092798763
902,254.3443544958801
903,129.6096150550439
904,122.39268897497884
905,55.45391778156746
906,118.38509058343956
907,1059.277651916091
908,234.3633640243402
909,541.9041395473022
910,136.28286890846772
911,209.23390633591603
912,2780.0022615386874
913,144.4672252091963
914,140.0262984233003
915,235.3680345491819
916,244.44845690344982
917,213.71932518574735
918,95.82986994089123
919,263.06074395271224
920,616.9602087524725
921,381.4760959545033
922,336.08054522993757
923,665.3868787848536
924,308.67907158474674
925,186.701501363763
926,166.28684497742873
927,398.3505256470425
928,257.9713012544753
929,347.1897604961845
930,1082.8737685967606
931,354.3554618614396
932,156.32057991638774
933,391.1978299976183
934,211.9292202023616
935,793.8439725722099
936,3749.3978934959778
937,200.03015556450617
938,486.53045378075177
939,125.25211798332266
940,295.2518381998315
941,188.19584446848475
942,448.0493797163935
943,426.9740716891024
944,183.2290274383023
945,124.49966879730627
946,633.6296975424121
947,1129.1980637979284
948,346.7070399733011
949,811.210947197339
950,222.10028534044653
951,124.3907975137373
952,122.73352552458456
953,174.68548465346095
954,3296.270246483296
955,573.0507673812052
956,1421.1266891769199
957,150.4204974404657
958,261.74651234640623
959,165.30065725081158
960,85.27712764601466
961,111.90320171237958
962,297.8142740158007
963,275.01676873784135
964,121.4908306120037
965,145.92801856754593
966,333.381488259449
967,107.34321050615212
968,298.26454900890786
969,276.62302064410426
970,1189.7887615018462
971,171.66463339250356
972,157.64706740389644
973,837.9977297885664
974,399.68657142041616
975,631.0846686235109
976,149.6448205311896
977,470.45330486038375
978,521.675272718349
979,2060.97665649604
980,413.8139804831598
981,159.4740472308768
982,37.27259773041016
983,186.76284457628594
984,141.97742083895503
985,68.22804140552451
986,557.7770172242505
987,234.75481874754627
988,191.41073538835317
989,130.1425905476032
990,375.67030544789685
991,84.44839177786419
992,148.7003723318436
993,246.34830262299803
994,183.49864291983104
995,92.94934883089081
996,109.41654346066196
997,186.9509362040512
998,119.2217891773238
999,120.00219561942471
1000,61.31795038463797
1001,783.6721499475636
1002,372.2737988101557
1003,213.20258383634126
1004,568.924145022473
1005,215.67908263298088
1006,195.2621312273931
1007,225.43370206681084
1008,370.78569365998277
1009,75.61922923067779
1010,298.19696438501484
1011,162.20370657894136
1012,124.08567939321162
1013,170.5182941275837
1014,160.60622465940406
1015,394.03325942332003
1016,86.4667437704591
1017,109.94873317060546
1018,283.8839983363628
1019,370.77006107429406
1020,133.38397366433313
1021,559.4865570330182
1022,361.4080201517562
1023,1429.3239124363045
1024,426.4156280169876
1025,262.00413754145336
1026,597.938108402946
1027,158.10802060478548
1028,311.7280132130604
1029,260.78954393202804
1030,263.3506575272744
1031,96.30578775169643
1032,154.88984045532516
1033,143.23829959358693
1034,170.86493169589158
1035,111.45392854180132
1036,545.7465651891761
1037,181.3196484903678
1038,193.94356202277848
1039,221.3045949081057
1040,351.33677946830505
1041,28.520264418773504
1042,156.594334410541
1043,117.67120755451413
1044,110.7291137716839
1045,148.5766023418181
1046,5032.0563654687485
1047,141.11854487700464
1048,164.41849432262927
1049,112.86308682352697
1050,71.32372091809246
1051,660.6417518038705
1052,209.5439958060894
1053,171.97522846323807
1054,268.9744590625262
1055,454.8019413814992
1056,1133.409356512775
1057,86.97160517919492
1058,344.83131885401195
1059,269.1110509471865
1060,492.4291960078724
1061,202.52328295033183
1062,537.1915017300566
1063,196.21703462688743
1064,277.1050193005109
1065,174.93238708562336
1066,505.1373343069663
1067,319.4342303043499
1068,980.3736857032019
1069,885.8078440998172
1070,604.8049537258108
1071,197.3672125815386
1072,164.23979991141795
1073,960.2703907033547
